,amenities,area,homestay_name,place,price,region
1,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Family/Kid Friendly', '', '', '', '', 'First Aid Kit']",vagator,Villa Vagator, Goa ,30000,north goa
2,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Wireless Internet', 'Dryer', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Pets Allowed', 'Wheelchair Accessible', '', '', '', '']",saligao,Artisanale Saligao, Goa ,8500,north goa
3,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Internet', 'Wireless Internet', 'Pool', 'Breakfast', 'Doorman', 'Shampoo', 'Family/Kid Friendly', 'Wheelchair Accessible', '', '', '', '', 'Smoke Detector', 'First Aid Kit', 'Fire Extinguisher']",penha de frança,Villa Britona, Goa ,45000,unknown
4,"['Essentials', 'Air Conditioning', 'Kitchen', 'Wireless Internet', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Pets Allowed', '', '', 'First Aid Kit']",candolim,Chalet Villa in Candolim, Goa ,5500,north goa
5,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Wireless Internet', 'Hot Tub', 'Washer', 'Breakfast', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', 'Wheelchair Accessible', '', '', '', '', 'First Aid Kit', 'Fire Extinguisher']",morjim,Villa Morjim, Goa ,74880,unknown
6,"['Essentials', 'TV', 'Air Conditioning', '', '', '', '', '', '', '', '', '', '', 'Smoke Detector', 'First Aid Kit', 'Fire Extinguisher']",marra,"Beautiful Heritage Home, North Goa", Goa ,25000,unknown
7,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Wireless Internet', 'Washer', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', 'Pets Allowed', '', '', '', '']",navelim,Artisinale Benaulim, Goa ,8500,unknown
8,"['Essentials', 'TV', 'Air Conditioning', 'Heating', 'Kitchen', 'Wireless Internet', 'Washer', 'Pool', 'Dryer', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', '', '', '', '', 'First Aid Kit', 'Fire Extinguisher']",arpora,Villa Arpora, Goa ,40960,unknown
9,"['Essentials', 'TV', 'Air Conditioning', 'Kitchen', 'Wireless Internet', 'Washer', 'Dryer', 'Breakfast', 'Free Parking on Premises', 'Family/Kid Friendly', 'Suitable for Events', 'Pets Allowed', 'Pets live on this property', '', '', '', 'First Aid Kit']",curtorim,Arco Iris 200 Yr Heritage Homestay, Goa ,20000,unknown
10,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Wireless Internet', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', '', '', '', '', 'First Aid Kit']",verem,3BHK Boutique Villa - Villa de Arte, Goa ,7400,unknown
11,"['Essentials', 'TV', 'Air Conditioning', 'Kitchen', 'Washer', 'Dryer', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', 'Pets Allowed', '', '', '', 'First Aid Kit']",aldona,Casa Bougainvillea, Goa ,10000,unknown
12,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Wireless Internet', 'Washer', 'Pool', 'Dryer', 'Breakfast', 'Free Parking on Premises', 'Shampoo', 'Family/Kid Friendly', 'Smoking Allowed', '', '', '', '']",calangute,SAMAARA VILLAS, Goa ,15000,north goa
13,"['TV', 'Cable TV', 'Air Conditioning', 'Heating', 'Kitchen', 'Internet', 'Wireless Internet', 'Hot Tub', 'Washer', 'Pool', 'Dryer', 'Breakfast', 'Free Parking on Premises', 'Doorman', 'Shampoo', 'Family/Kid Friendly', 'Suitable for Events', '', '', '', '', 'Smoke Detector', 'First Aid Kit', 'Safety Card', 'Fire Extinguisher']",nerul,Villa la gitana, Goa ,30000,unknown
14,"['Essentials', 'TV', 'Cable TV', 'Air Conditioning', 'Heating', 'Wireless Internet', 'Pool', 'Free Parking on Premises', 'Family/Kid Friendly', 'Suitable for Events', '', '', '', '', '', 'First Aid Kit']",baga,Villa Casa Baga, Goa ,20000,north goa
15,"['Essentials', 'TV', 'Air Conditioning', 'Kitchen', 'Internet', 'Wireless Internet', 'Pool', 'Breakfast', 'Free Parking on Premises', 'Family/Kid Friendly', 'Smoking Allowed', 'Suitable for Events', 'Wheelchair Accessible', '', '', '', 'First Aid Kit', 'Fire Extinguisher']",candolim,Aashyana Lakhanpal Villa, Goa ,105621,north goa
